name,image_id,confidence,xmin,ymin,xmax,ymax
scallop,000022,0.424883008,1662,422,1747,496
scallop,000022,0.4433406,1747,556,1825,626
starfish,000022,0.453815341,1784,1289,1875,1372
scallop,000022,0.480246037,1035,502,1095,544
starfish,000022,0.492098033,1931,1114,1993,1224
scallop,000022,0.544891536,729,949,804,1014
scallop,000022,0.580678046,1080,469,1137,525
scallop,000022,0.594523609,1621,298,1700,375
scallop,000022,0.635927141,1844,840,1907,896
scallop,000022,0.653102279,1632,866,1713,936
starfish,000022,0.683645666,1793,1351,1918,1483
scallop,000022,0.732324898,1255,231,1328,298
scallop,000022,0.769879758,1425,908,1499,972
scallop,000022,0.780192971,1604,1484,1698,1535
scallop,000022,0.793283284,1649,916,1726,983
scallop,000022,0.795361042,1075,1258,1147,1330
scallop,000022,0.805896103,1717,975,1812,1066
scallop,000022,0.809023142,1557,464,1630,540
scallop,000022,0.824732363,1155,1338,1219,1407
starfish,000022,0.828861356,1888,1281,2017,1416
scallop,000022,0.831214249,1230,1296,1308,1365
scallop,000022,0.832360625,1295,1367,1388,1449
scallop,000022,0.838674426,1591,777,1671,856
scallop,000022,0.856116712,1544,1096,1624,1182
scallop,000022,0.876374602,1903,866,1990,955
scallop,000023,0.255961031,296,1391,357,1441
scallop,000023,0.263986051,1540,424,1601,473
scallop,000023,0.275085539,779,1501,840,1536
scallop,000023,0.279266506,1237,458,1307,515
scallop,000023,0.302740842,1209,1263,1278,1333
scallop,000023,0.314094335,765,867,828,923
scallop,000023,0.318104476,1656,422,1747,489
scallop,000023,0.343974799,1873,799,1933,846
scallop,000023,0.370295733,1467,574,1543,633
scallop,000023,0.394571155,1683,1370,1759,1438
scallop,000023,0.556244135,1106,407,1185,469
starfish,000023,0.580106974,1326,259,1436,326
scallop,000023,0.595367074,1288,420,1342,474
scallop,000023,0.632537067,1075,1240,1152,1319
scallop,000023,0.64172107,1155,1336,1219,1395
scallop,000023,0.663193226,1090,471,1133,517
scallop,000023,0.681538343,1638,861,1716,929
scallop,000023,0.704173326,1840,832,1903,885
scallop,000023,0.708233476,737,944,805,1010
scallop,000023,0.715744257,1036,492,1094,538
scallop,000023,0.761989415,1591,798,1664,848
scallop,000023,0.766449332,1608,1475,1705,1534
scallop,000023,0.780825257,1566,461,1637,534
scallop,000023,0.784093678,1303,1359,1393,1440
scallop,000023,0.792771578,1716,965,1812,1061
scallop,000023,0.806143463,1426,896,1505,963
scallop,000023,0.808229744,1650,909,1728,974
starfish,000023,0.812707126,1797,1339,1930,1470
scallop,000023,0.814489245,1234,1287,1310,1360
scallop,000023,0.828397214,1550,1088,1629,1177
scallop,000023,0.844391882,1906,856,1995,949
starfish,000023,0.873513103,1903,1351,2046,1500
scallop,000024,0.258851051,1710,347,1776,398
echinus,000024,0.277815104,1231,325,1297,393
scallop,000024,0.362494826,1366,420,1437,475
scallop,000024,0.400719315,1800,1303,1891,1378
scallop,000024,0.423814982,1852,810,1922,876
scallop,000024,0.501325488,1450,391,1511,445
scallop,000024,0.554295659,1654,429,1744,494
scallop,000024,0.622250617,1232,327,1297,392
scallop,000024,0.624222696,1252,228,1326,299
scallop,000024,0.675954401,1032,496,1093,543
scallop,000024,0.677988589,1278,421,1341,478
scallop,000024,0.683353662,1083,465,1138,521
scallop,000024,0.68647337,1831,833,1904,897
starfish,000024,0.690607667,1592,366,1673,432
scallop,000024,0.704381347,1684,1385,1765,1456
scallop,000024,0.723531425,728,942,806,1017
scallop,000024,0.731871963,1588,805,1666,862
scallop,000024,0.75199163,1601,1486,1699,1535
scallop,000024,0.770811021,1651,922,1725,987
scallop,000024,0.775764108,1628,295,1701,361
scallop,000024,0.777740479,1561,471,1638,540
starfish,000024,0.787008762,1801,1357,1930,1480
scallop,000024,0.791298211,1422,905,1501,972
scallop,000024,0.79572773,1145,1328,1225,1415
scallop,000024,0.799221754,1628,860,1711,940
scallop,000024,0.821956992,1074,1258,1150,1328
scallop,000024,0.840579629,1546,1095,1627,1183
scallop,000024,0.844787002,1231,1294,1306,1367
scallop,000024,0.853786409,1714,969,1809,1071
scallop,000024,0.857257724,1297,1357,1389,1448
scallop,000024,0.860420585,1904,866,1993,959
starfish,000024,0.877954423,1877,1386,2022,1536
scallop,000025,0.252683938,813,1069,874,1139
scallop,000025,0.289064974,1149,356,1211,416
scallop,000025,0.302248627,1387,591,1460,649
scallop,000025,0.323969632,1644,853,1733,945
echinus,000025,0.336554945,1207,32,1262,94
scallop,000025,0.368193418,1266,471,1336,537
scallop,000025,0.390194595,1908,1091,2014,1209
scallop,000025,0.395613909,990,608,1045,670
scallop,000025,0.396960616,1608,1327,1694,1408
scallop,000025,0.403302401,681,1482,755,1535
scallop,000025,0.42237398,324,1281,383,1338
scallop,000025,0.439007044,1968,356,2048,427
scallop,000025,0.52250874,1320,423,1389,484
starfish,000025,0.566898108,1908,1087,2021,1210
scallop,000025,0.590715349,665,1069,725,1125
scallop,000025,0.603172183,1454,913,1540,1000
scallop,000025,0.619315207,1417,418,1488,476
scallop,000025,0.63276732,1237,1409,1318,1490
scallop,000025,0.656759262,984,464,1048,522
scallop,000025,0.658851147,1399,1385,1484,1481
scallop,000025,0.667451262,584,1406,657,1477
starfish,000025,0.668810427,1892,1190,1991,1303
scallop,000025,0.705348015,1589,799,1678,879
scallop,000025,0.74244833,922,1338,995,1403
scallop,000025,0.754423738,1790,688,1870,771
scallop,000025,0.768444657,1630,847,1704,921
starfish,000025,0.771756113,1730,153,1824,251
scallop,000025,0.783710361,1692,867,1801,981
scallop,000025,0.788570881,1454,452,1521,524
scallop,000025,0.78919816,1482,259,1553,333
scallop,000025,0.791602492,763,1180,830,1258
scallop,000025,0.792567253,1979,473,2048,552
scallop,000025,0.810032725,1537,412,1610,490
scallop,000025,0.811372042,1570,1047,1652,1145
scallop,000025,0.834604681,1163,1381,1250,1476
scallop,000025,0.837370336,1856,707,1948,802
scallop,000025,0.844355226,1312,1349,1387,1425
scallop,000025,0.863928556,1675,1438,1779,1536
scallop,000026,0.286132127,1212,1136,1263,1187
scallop,000026,0.33509165,728,743,789,786
scallop,000026,0.43075943,1756,1374,1814,1424
scallop,000026,0.493225574,1662,249,1728,294
scallop,000026,0.498218715,1258,522,1320,567
scallop,000026,0.579334795,1387,1206,1488,1289
scallop,000026,0.622328818,1991,1369,2048,1427
scallop,000026,0.725117087,376,660,436,705
scallop,000026,0.735430419,744,901,819,958
scallop,000026,0.740423203,1765,1289,1840,1343
scallop,000026,0.749885559,1562,1230,1645,1289
scallop,000026,0.758504927,1256,1363,1363,1466
scallop,000026,0.773266256,2003,1244,2048,1321
scallop,000026,0.806046426,1007,1430,1081,1500
scallop,000026,0.806563973,1566,1284,1649,1331
scallop,000026,0.815626144,951,1346,1043,1429
scallop,000026,0.819461823,1088,1429,1162,1493
scallop,000026,0.826808393,1804,1352,1893,1428
scallop,000026,0.852404892,1419,1397,1502,1469
scallop,000026,0.870498478,1607,1365,1698,1446
scallop,000027,0.278180778,1806,345,1877,392
echinus,000027,0.324578047,1018,1077,1109,1158
scallop,000027,0.407846421,1291,524,1353,578
echinus,000027,0.420569241,1618,239,1677,299
scallop,000027,0.515488267,1181,702,1245,766
scallop,000027,0.594324172,1607,795,1691,855
scallop,000027,0.594626009,1559,1156,1635,1225
scallop,000027,0.670773208,1070,1323,1160,1402
scallop,000027,0.695611656,1555,675,1624,731
scallop,000027,0.720831811,1108,1427,1204,1504
scallop,000027,0.792283177,1537,1037,1623,1109
scallop,000027,0.795406997,1615,1146,1706,1221
scallop,000027,0.805306375,1787,1255,1878,1332
scallop,000027,0.80712688,1587,1272,1688,1358
scallop,000027,0.809481144,1747,1184,1833,1251
scallop,000027,0.828291953,1350,1455,1430,1535
scallop,000027,0.85746336,1422,1336,1512,1417
holothurian,000028,0.252354622,1962,1223,2048,1307
scallop,000028,0.257871389,1448,615,1510,665
scallop,000028,0.285618037,1722,831,1778,879
scallop,000028,0.314828455,1528,1119,1593,1161
scallop,000028,0.325761706,1569,733,1635,780
scallop,000028,0.33019948,908,509,952,543
scallop,000028,0.335069597,1120,460,1180,500
scallop,000028,0.343240738,1520,685,1583,736
scallop,000028,0.350754946,1499,890,1568,936
starfish,000028,0.384539008,433,874,530,943
scallop,000028,0.385173589,1733,737,1819,787
scallop,000028,0.388278276,352,1467,421,1511
starfish,000028,0.402680218,1803,806,1868,858
scallop,000028,0.410226166,1800,804,1870,862
scallop,000028,0.484837383,817,767,887,813
scallop,000028,0.499769568,362,533,423,579
scallop,000028,0.509244978,1647,1125,1724,1179
scallop,000028,0.576338291,1638,685,1704,734
scallop,000028,0.622916162,1436,494,1498,538
scallop,000028,0.624254525,1044,1359,1121,1416
scallop,000028,0.63512361,1520,718,1582,766
scallop,000028,0.713576674,1315,1491,1394,1536
scallop,000028,0.714823127,1767,726,1842,772
scallop,000028,0.724784255,923,1286,1001,1341
scallop,000028,0.725332201,713,639,779,682
scallop,000028,0.742817521,1949,1351,2027,1409
scallop,000028,0.772277415,1723,753,1782,797
scallop,000028,0.772996843,1077,1459,1170,1527
scallop,000028,0.779981136,722,800,799,853
scallop,000028,0.78839606,793,1287,867,1350
scallop,000028,0.791228831,1309,568,1374,608
scallop,000028,0.798648894,1756,1315,1854,1399
scallop,000028,0.809661031,1665,866,1736,924
scallop,000028,0.81698215,1334,1106,1417,1167
scallop,000028,0.828328371,1727,1239,1811,1309
scallop,000028,0.839466453,1562,1322,1654,1396
scallop,000028,0.845113218,1389,1382,1479,1450
scallop,000028,0.847636223,1588,1198,1679,1273
scallop,000028,0.849031031,847,1359,932,1424
scallop,000028,0.85265094,1575,822,1652,886
scallop,000028,0.854720592,1124,578,1186,632
scallop,000029,0.254943132,1674,183,1736,228
scallop,000029,0.255125612,1820,392,1883,437
scallop,000029,0.261271805,1839,600,1923,665
starfish,000029,0.27646938,678,987,760,1057
scallop,000029,0.313892573,540,921,606,981
scallop,000029,0.32261911,777,1003,846,1062
scallop,000029,0.328480154,1707,891,1761,943
scallop,000029,0.329910487,1036,399,1088,441
scallop,000029,0.36420235,713,604,776,652
scallop,000029,0.398379058,910,479,955,513
scallop,000029,0.473245472,363,500,422,542
scallop,000029,0.477889597,1867,777,1935,825
scallop,000029,0.521420002,1328,532,1397,593
scallop,000029,0.549250066,1849,1488,1925,1535
scallop,000029,0.60306704,1400,661,1466,715
scallop,000029,0.615051687,783,1254,871,1329
starfish,000029,0.616526186,1360,1439,1440,1513
scallop,000029,0.639013767,1074,1437,1168,1501
scallop,000029,0.641615152,1164,528,1223,568
scallop,000029,0.65702033,1776,713,1841,754
scallop,000029,0.664326608,1130,540,1188,582
scallop,000029,0.699177265,1408,511,1471,555
scallop,000029,0.709780276,1973,1232,2046,1295
scallop,000029,0.724498332,1042,1320,1131,1392
starfish,000029,0.724871874,104,1428,196,1505
scallop,000029,0.737820506,1555,663,1626,730
scallop,000029,0.752542615,1722,738,1782,785
scallop,000029,0.77989769,1718,683,1783,729
scallop,000029,0.782662868,1676,814,1745,859
scallop,000029,0.786393702,722,773,800,820
scallop,000029,0.794560552,915,1241,1006,1308
starfish,000029,0.795976698,174,1233,281,1322
scallop,000029,0.799824357,1332,1084,1414,1148
scallop,000029,0.809911251,1313,1479,1386,1535
scallop,000029,0.810068071,1757,1311,1847,1388
scallop,000029,0.812155008,1951,1341,2026,1402
scallop,000029,0.828565657,1670,856,1743,909
scallop,000029,0.833919346,1726,1236,1805,1299
scallop,000029,0.83807528,1390,1364,1473,1433
scallop,000029,0.841873705,839,1333,929,1403
scallop,000029,0.842001855,1578,806,1656,870
starfish,000029,0.844156861,1566,933,1666,1038
scallop,000029,0.849665999,1588,1183,1679,1257
scallop,000029,0.854449987,1205,956,1290,1015
starfish,000029,0.861648381,1272,1308,1394,1417
scallop,000029,0.870168924,1560,1310,1651,1385
scallop,000030,0.25170961,1230,407,1281,445
scallop,000030,0.290288419,1948,1336,2027,1401
scallop,000030,0.294941962,1336,1464,1422,1533
scallop,000030,0.3827824,1677,823,1752,889
scallop,000030,0.392230004,1451,594,1516,642
scallop,000030,0.396807581,1320,532,1393,590
scallop,000030,0.429475963,1267,422,1326,465
scallop,000030,0.431032985,1270,780,1341,836
scallop,000030,0.434712499,909,480,954,515
scallop,000030,0.44701004,775,991,847,1052
scallop,000030,0.479149014,1368,1444,1442,1512
scallop,000030,0.489429086,1402,667,1467,715
starfish,000030,0.504184604,1366,1439,1439,1510
scallop,000030,0.55104816,720,608,774,647
scallop,000030,0.560326278,366,497,423,540
scallop,000030,0.569684088,1346,1108,1420,1154
scallop,000030,0.629791915,1782,713,1851,767
starfish,000030,0.65968585,665,729,744,789
scallop,000030,0.685657501,1169,523,1226,560
starfish,000030,0.711366415,683,984,768,1059
scallop,000030,0.729603767,1681,811,1754,860
scallop,000030,0.7417382,1079,1432,1171,1500
scallop,000030,0.754046977,1969,1222,2046,1289
scallop,000030,0.758707225,725,774,801,821
scallop,000030,0.760187209,1135,544,1185,584
scallop,000030,0.763643146,1411,510,1474,553
scallop,000030,0.772378981,1315,1478,1388,1535
starfish,000030,0.779300749,109,1428,196,1505
starfish,000030,0.780626774,1539,953,1631,1034
scallop,000030,0.790972292,789,1261,869,1329
scallop,000030,0.811613858,1042,1328,1122,1392
scallop,000030,0.822657406,1559,662,1631,730
scallop,000030,0.827104568,918,1237,1010,1308
scallop,000030,0.82748884,1567,1315,1658,1390
scallop,000030,0.83716917,1393,1364,1482,1435
starfish,000030,0.844947934,1188,1329,1314,1435
scallop,000030,0.847982407,1764,1317,1853,1387
scallop,000030,0.848264217,844,1329,932,1402
scallop,000030,0.848758757,1594,1183,1684,1259
scallop,000030,0.848941386,1728,1238,1812,1304
scallop,000030,0.850997031,1672,856,1749,913
starfish,000030,0.852078557,208,1360,330,1461
scallop,000030,0.854814708,1582,810,1658,872
scallop,000030,0.866110742,1323,1045,1410,1107
scallop,000031,0.268269658,1112,945,1213,1000
scallop,000031,0.306103736,1104,966,1216,1023
scallop,000031,0.367101043,102,1165,201,1215
starfish,000031,0.389763921,2011,756,2123,814
scallop,000031,0.421491623,2481,1071,2560,1127
scallop,000031,0.503361642,2087,880,2169,938
scallop,000031,0.515106738,1,923,75,975
scallop,000031,0.597302735,748,931,828,988
starfish,000031,0.603341699,232,1147,364,1231
scallop,000031,0.616431892,0,1231,90,1286
scallop,000031,0.617539644,1911,757,1999,802
scallop,000031,0.629749954,1198,893,1332,969
scallop,000031,0.636137366,156,1258,271,1319
starfish,000031,0.660358906,66,1081,194,1167
scallop,000031,0.668596387,1119,987,1225,1036
scallop,000031,0.680117071,1850,829,1950,881
scallop,000031,0.712239265,79,1352,193,1419
scallop,000031,0.725738347,1699,615,1789,680
scallop,000031,0.734299958,444,1062,549,1128
scallop,000031,0.744398654,1059,1180,1208,1301
starfish,000031,0.744507968,360,1110,480,1181
scallop,000031,0.749557197,1355,918,1462,993
scallop,000031,0.753869951,912,1124,1009,1204
scallop,000031,0.757624567,1518,759,1643,836
scallop,000031,0.759329975,1564,651,1656,713
scallop,000031,0.787623227,588,1112,700,1171
scallop,000031,0.797607005,1418,828,1519,884
scallop,000031,0.800963402,993,1046,1097,1111
scallop,000031,0.806860924,442,1255,545,1320
scallop,000031,0.810311913,852,1193,968,1260
starfish,000031,0.810499191,841,1025,968,1117
scallop,000031,0.811369956,339,1225,440,1293
scallop,000031,0.812237084,689,1031,791,1088
starfish,000031,0.820651233,1960,842,2092,937
scallop,000031,0.823468924,2173,802,2295,870
scallop,000031,0.827926457,613,1186,724,1249
starfish,000031,0.840596497,2455,900,2559,974
scallop,000032,0.258000672,1120,881,1191,926
scallop,000032,0.314482242,903,1199,977,1255
scallop,000032,0.320998609,2219,1028,2327,1101
scallop,000032,0.342408687,1738,797,1834,858
scallop,000032,0.347552449,89,1326,238,1433
scallop,000032,0.349469125,783,1027,851,1073
scallop,000032,0.387974739,850,644,939,711
scallop,000032,0.406169862,1291,1035,1423,1111
scallop,000032,0.468695343,278,723,357,769
scallop,000032,0.503043234,0,1062,34,1130
scallop,000032,0.504509747,1604,940,1680,998
scallop,000032,0.515844703,863,1205,975,1275
scallop,000032,0.593867421,1841,841,1962,908
starfish,000032,0.613202333,474,991,592,1066
scallop,000032,0.643997073,177,1257,286,1336
scallop,000032,0.657782137,1400,966,1512,1025
scallop,000032,0.662027955,2486,994,2560,1057
scallop,000032,0.693063259,313,755,406,803
starfish,000032,0.704992712,428,1083,565,1156
scallop,000032,0.708463907,1183,803,1274,866
scallop,000032,0.709295273,1409,988,1520,1042
scallop,000032,0.714783251,1051,873,1129,934
scallop,000032,0.719846308,1506,918,1623,986
scallop,000032,0.721781135,1376,1065,1470,1133
scallop,000032,0.730380654,510,1163,624,1214
starfish,000032,0.731840968,0,1158,119,1249
scallop,000032,0.736064434,122,1051,217,1106
scallop,000032,0.737067461,1902,738,2000,797
scallop,000032,0.742082357,2168,947,2271,1013
scallop,000032,0.75871557,61,907,184,968
scallop,000032,0.760681093,588,1097,700,1169
scallop,000032,0.763632476,1657,975,1752,1035
starfish,000032,0.765339971,637,997,756,1061
scallop,000032,0.768897831,2043,722,2140,785
scallop,000032,0.769401133,871,1100,974,1170
scallop,000032,0.769473016,260,1056,369,1109
scallop,000032,0.778152108,1104,1154,1215,1222
scallop,000032,0.781452,1733,892,1827,946
scallop,000032,0.802363455,972,969,1074,1017
scallop,000032,0.804090858,710,1101,810,1153
scallop,000032,0.805468738,730,961,837,1024
scallop,000032,0.821609437,1271,1031,1367,1096
scallop,000032,0.826300442,860,1024,971,1090
scallop,000032,0.831165731,187,732,282,795
starfish,000032,0.832850337,1132,990,1249,1074
scallop,000032,0.847114742,1174,1098,1275,1177
scallop,000032,0.850605309,323,1184,438,1247
scallop,000032,0.851221263,167,1148,276,1212
scallop,000032,0.862214923,60,1257,179,1328
scallop,000033,0.260567933,1680,825,1788,896
starfish,000033,0.270561635,1967,838,2065,921
scallop,000033,0.284879804,1202,921,1291,982
scallop,000033,0.286868811,1346,1092,1441,1159
scallop,000033,0.375255972,3,1241,99,1324
starfish,000033,0.416236728,614,1059,704,1118
scallop,000033,0.451892167,1567,964,1636,1020
scallop,000033,0.456489831,1133,850,1231,906
scallop,000033,0.486534119,935,1252,1045,1314
scallop,000033,0.504457355,230,790,315,841
scallop,000033,0.505806208,1570,1168,1625,1219
scallop,000033,0.596783161,1284,1225,1408,1331
scallop,000033,0.610777676,1372,1020,1481,1078
scallop,000033,0.615400732,2128,965,2220,1020
scallop,000033,0.63607043,1360,997,1474,1055
scallop,000033,0.667153478,2221,959,2331,1028
scallop,000033,0.671216786,262,820,356,873
scallop,000033,0.674418569,1613,992,1718,1062
scallop,000033,0.697456956,1796,861,1921,926
starfish,000033,0.698825777,249,1028,365,1119
scallop,000033,0.700530946,1466,948,1594,1022
scallop,000033,0.709425867,1993,731,2086,798
scallop,000033,0.728322387,946,1020,1034,1067
scallop,000033,0.7379269,224,1131,332,1183
scallop,000033,0.739217103,1242,1068,1344,1135
scallop,000033,0.749765933,139,1330,268,1423
scallop,000033,0.752504885,1852,751,1951,815
starfish,000033,0.758620501,1,1237,98,1325
scallop,000033,0.763502121,1686,909,1787,965
scallop,000033,0.764456689,1076,1211,1189,1268
scallop,000033,0.764734209,1013,921,1096,986
scallop,000033,0.771391332,1198,899,1298,960
scallop,000033,0.780025244,691,1020,797,1080
scallop,000033,0.783416808,20,989,136,1043
scallop,000033,0.790572762,837,1040,926,1097
scallop,000033,0.804725766,89,1126,183,1181
scallop,000033,0.806569397,800,1117,895,1178
scallop,000033,0.807576478,298,1259,412,1318
starfish,000033,0.819264054,1089,1043,1202,1117
scallop,000033,0.821225405,1144,1151,1245,1217
scallop,000033,0.826204836,136,1221,251,1283
scallop,000033,0.848410249,38,1336,151,1409
scallop,000033,0.853548646,144,807,233,868
starfish,000034,0.25095126,874,1275,960,1339
starfish,000034,0.256211787,2049,912,2110,959
scallop,000034,0.259172708,1164,1006,1242,1057
scallop,000034,0.259952933,481,896,547,938
scallop,000034,0.26141578,1460,1389,1567,1434
scallop,000034,0.262305915,1813,977,1884,1014
scallop,000034,0.282201529,322,1228,393,1271
scallop,000034,0.295774072,706,1002,764,1039
scallop,000034,0.312832564,1071,1068,1130,1103
scallop,000034,0.314862281,697,1381,771,1428
scallop,000034,0.3195813,820,1008,872,1037
scallop,000034,0.319857299,712,1273,773,1315
starfish,000034,0.322447449,513,1227,583,1286
scallop,000034,0.332296401,391,1070,451,1109
scallop,000034,0.336554468,1216,961,1285,1003
scallop,000034,0.342352986,1927,955,1994,1000
scallop,000034,0.342461348,1279,904,1353,949
scallop,000034,0.347691447,378,1134,436,1190
scallop,000034,0.354620159,943,1353,1009,1391
scallop,000034,0.358759344,1602,803,1654,841
scallop,000034,0.365819186,512,975,582,1028
scallop,000034,0.403473407,1002,938,1070,989
scallop,000034,0.409758568,400,967,455,1001
scallop,000034,0.418275177,511,948,573,994
scallop,000034,0.41977182,605,1191,664,1230
scallop,000034,0.463175207,305,923,367,965
scallop,000034,0.473189831,1020,918,1079,962
scallop,000034,0.474811286,1748,838,1809,885
scallop,000034,0.476629287,1216,946,1277,980
scallop,000034,0.48377803,770,1286,838,1335
scallop,000034,0.485629082,579,901,657,937
scallop,000034,0.505155623,1601,868,1665,905
scallop,000034,0.507064164,1458,787,1515,819
scallop,000034,0.51056838,323,1049,373,1085
scallop,000034,0.518328011,240,1017,297,1057
scallop,000034,0.546095014,1007,1209,1066,1251
scallop,000034,0.557154179,696,1360,763,1411
scallop,000034,0.571914077,1528,763,1585,798
scallop,000034,0.576033056,550,1071,610,1108
scallop,000034,0.585473597,993,965,1055,1003
starfish,000034,0.59231025,1080,975,1143,1020
scallop,000034,0.595590949,620,894,680,932
starfish,000034,0.603150904,445,1170,504,1215
scallop,000034,0.604003787,994,1327,1071,1372
